FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_588,5179732,POINT (16.319233105557814 48.2104044386332),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_589,5179733,POINT (16.291522213206196 48.233714583295516),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_58a,5179734,POINT (16.325911919244533 48.21466084469128),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_58b,5179735,POINT (16.33487498806508 48.218901953594305),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_58c,5179736,POINT (16.322106065087212 48.21874529304009),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_58d,5179737,POINT (16.31457149951014 48.22348308803791),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_58e,5179738,POINT (16.314405472999958 48.225043877782014),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_58f,5179739,POINT (16.282217591407036 48.14525699163141),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_590,5179740,POINT (16.386778121750865 48.186598897050665),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_591,5179741,POINT (16.38492504923135 48.184984043088996),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_592,5179742,POINT (16.386151607592826 48.18734235273269),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_593,5179743,POINT (16.37352212559486 48.23422121153783),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_594,5179744,POINT (16.369326707096658 48.22645451008798),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_595,5179745,POINT (16.369477754328173 48.22640777294734),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_596,5179746,POINT (16.369279965868785 48.22621705501979),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_597,5179747,POINT (16.376585498560313 48.23190191224942),Trinkbrunnen,4,
